ORIG_CD;DEST_CD;MILES;O&D
ALC;OSL;1599;ALC-OSL
ORY;RDZ;298;ORY-RDZ
OTP;OMR;264;OTP-OMR
CGR;PTY;2636;CGR-PTY
DOH;AMS;3056;DOH-AMS
SVO;ALA;1938;SVO-ALA
BWI;DFW;1215;BWI-DFW
MTY;TGU;1162;MTY-TGU
MCO;DTW;959;MCO-DTW
ADD;ACC;2683;ADD-ACC
ARN;VCE;975;ARN-VCE
IAH;MLU;262;IAH-MLU
CKG;HKT;1581;CKG-HKT
TLN;LYS;189;TLN-LYS
SEA;KIX;5027;SEA-KIX
TXF;ROO;996;TXF-ROO
BOG;VCP;2638;BOG-VCP
COR;YYZ;5252;COR-YYZ
PUM;UPG;155;PUM-UPG
CCS;MUN;266;CCS-MUN
CAE;DTW;585;CAE-DTW
WAW;FRA;556;WAW-FRA
AMS;LPI;595;AMS-LPI
YXX;YEG;482;YXX-YEG
NAV;IZM;407;NAV-IZM
BFN;CPT;564;BFN-CPT
DIQ;GYN;377;DIQ-GYN
MCZ;SMT;1364;MCZ-SMT
SSA;CAC;1295;SSA-CAC
CMF;GCI;475;CMF-GCI
CSX;INC;802;CSX-INC
MCO;TFF;2440;MCO-TFF
BOS;PIT;495;BOS-PIT
XNA;MSP;597;XNA-MSP
MHD;SHJ;790;MHD-SHJ
XAP;VAG;593;XAP-VAG
VIE;CPT;5674;VIE-CPT
IND;DEN;977;IND-DEN
XAP;SMT;1032;XAP-SMT
JDO;VAL;420;JDO-VAL
OSL;ALC;1599;OSL-ALC
RDZ;ORY;298;RDZ-ORY
CNF;OAL;1291;CNF-OAL
PTY;CGR;2636;PTY-CGR
FLR;MAD;789;FLR-MAD
GOT;VBY;225;GOT-VBY
DFW;BWI;1215;DFW-BWI
TGU;MTY;1162;TGU-MTY
JNB;MTS;207;JNB-MTS
CUZ;SJO;1824;CUZ-SJO
VCE;ARN;975;VCE-ARN
MLU;IAH;262;MLU-IAH
HKT;CKG;1581;HKT-CKG
CPV;LIS;3623;CPV-LIS
ICN;KUL;2843;ICN-KUL
KWE;TCZ;512;KWE-TCZ
VCP;BOG;2638;VCP-BOG
YYZ;COR;5252;YYZ-COR
UPG;PUM;155;UPG-PUM
MUN;CCS;266;MUN-CCS
DTW;CAE;585;DTW-CAE
CGH;COR;1198;CGH-COR
LPI;AMS;595;LPI-AMS
BNA;MSP;695;BNA-MSP
BGO;FAE;435;BGO-FAE
CPT;BFN;564;CPT-BFN
GYN;DIQ;377;GYN-DIQ
SMT;MCZ;1364;SMT-MCZ
BET;KWT;13;BET-KWT
GCI;CMF;475;GCI-CMF
INC;CSX;802;INC-CSX
TFF;MCO;2440;TFF-MCO
PIT;BOS;495;PIT-BOS
CKS;LIS;4067;CKS-LIS
SHJ;MHD;790;SHJ-MHD
TXL;VIE;339;TXL-VIE
LGA;YHZ;585;LGA-YHZ
AMS;DBV;923;AMS-DBV
JOI;POA;298;JOI-POA
VAL;JDO;420;VAL-JDO
JDZ;PEK;747;JDZ-PEK
BIA;LYS;310;BIA-LYS
OAL;CNF;1291;OAL-CNF
ALA;KOV;769;ALA-KOV
MAD;FLR;789;MAD-FLR
VBY;GOT;0;VBY-GOT
SNN;VIE;1163;SNN-VIE
CDG;ETZ;168;CDG-ETZ
MTS;JNB;207;MTS-JNB
SJO;CUZ;1824;SJO-CUZ
LHE;RKT;1190;LHE-RKT
ETZ;NTE;385;ETZ-NTE
CSX;HKG;410;CSX-HKG
LIS;CPV;3623;LIS-CPV
KUL;ICN;2843;KUL-ICN
TCZ;KWE;512;TCZ-KWE
CAU;VIX;876;CAU-VIX
OKC;MDE;2457;OKC-MDE
RVD;SET;3287;RVD-SET
AJU;LEC;302;AJU-LEC
YQY;YUL;661;YQY-YUL
COR;CGH;1198;COR-CGH
BUD;KRK;185;BUD-KRK
MSP;BNA;695;MSP-BNA
FAE;BGO;435;FAE-BGO
CLO;CNF;2719;CLO-CNF
CLV;DOU;514;CLV-DOU
NRT;PEK;1313;NRT-PEK
KWT;BET;13;KWT-BET
HMO;SDQ;2707;HMO-SDQ
TLL;VNO;334;TLL-VNO
BGO;KSU;214;BGO-KSU
ARX;JJG;1822;ARX-JJG
LIS;CKS;4067;LIS-CKS
BGX;PGZ;518;BGX-PGZ
VIE;TXL;339;VIE-TXL
YHZ;LGA;585;YHZ-LGA
DBV;AMS;923;DBV-AMS
POA;JOI;298;POA-JOI
MCO;PNS;381;MCO-PNS
PEK;JDZ;747;PEK-JDZ
LYS;BIA;310;LYS-BIA
PVR;TLC;375;PVR-TLC
KOV;ALA;769;KOV-ALA
DTW;ESC;305;DTW-ESC
BOI;GRU;6383;BOI-GRU
VIE;SNN;1163;VIE-SNN
ETZ;CDG;168;ETZ-CDG
GUA;MEX;656;GUA-MEX
ORD;SDQ;1946;ORD-SDQ
RKT;LHE;1190;RKT-LHE
NTE;ETZ;385;NTE-ETZ
HKG;CSX;410;HKG-CSX
PMO;ZRH;682;PMO-ZRH
BOD;FSC;545;BOD-FSC
DOH;OTP;1948;DOH-OTP
VIX;CAU;876;VIX-CAU
ASU;PAP;3173;ASU-PAP
SET;RVD;3287;SET-RVD
LEC;AJU;302;LEC-AJU
YUL;YQY;661;YUL-YQY
BNE;SIN;3818;BNE-SIN
KRK;BUD;185;KRK-BUD
DME;VRA;5943;DME-VRA
CNF;URG;1078;CNF-URG
CNF;CLO;2719;CNF-CLO
DOU;CLV;514;DOU-CLV
PEK;NRT;1313;PEK-NRT
SFO;TGU;2695;SFO-TGU
SDQ;HMO;2707;SDQ-HMO
VNO;TLL;334;VNO-TLL
KSU;BGO;214;KSU-BGO
JJG;ARX;1822;JJG-ARX
GVA;KBP;1167;GVA-KBP
PGZ;BGX;518;PGZ-BGX
BKK;LED;4730;BKK-LED
IXC;JAI;272;IXC-JAI
MII;PAV;1175;MII-PAV
BEG;BEY;1109;BEG-BEY
PNS;MCO;381;PNS-MCO
EUG;SFO;451;EUG-SFO
NTE;SOU;263;NTE-SOU
TLC;PVR;375;TLC-PVR
CAC;MVF;1735;CAC-MVF
ESC;DTW;305;ESC-DTW
GRU;BOI;6383;GRU-BOI
CXJ;IZA;729;CXJ-IZA
HET;NZH;515;HET-NZH
MEX;GUA;656;MEX-GUA
SDQ;ORD;1946;SDQ-ORD
MDE;MVD;3091;MDE-MVD
ARX;MCO;3681;ARX-MCO
CZX;PEK;609;CZX-PEK
ZRH;PMO;682;ZRH-PMO
FSC;BOD;545;FSC-BOD
OTP;DOH;1948;OTP-DOH
HFE;SZX;679;HFE-SZX
PAP;ASU;3173;PAP-ASU
ORD;SJC;1829;ORD-SJC
SLC;STL;1152;SLC-STL
SAN;VLN;3493;SAN-VLN
SIN;BNE;3818;SIN-BNE
HAM;VKO;1092;HAM-VKO
VRA;DME;5943;VRA-DME
URG;CNF;1078;URG-CNF
FRA;SPU;579;FRA-SPU
RIX;TMP;309;RIX-TMP
MGF;RAO;315;MGF-RAO
TGU;SFO;2695;TGU-SFO
ATL;GSP;154;ATL-GSP
BTV;DCA;436;BTV-DCA
BFS;MLA;1633;BFS-MLA
CAN;PVG;752;CAN-PVG
KBP;GVA;1167;KBP-GVA
DCA;GSP;395;DCA-GSP
LED;BKK;4730;LED-BKK
JAI;IXC;272;JAI-IXC
PAV;MII;1175;PAV-MII
BEY;BEG;1109;BEY-BEG
FUK;KIX;287;FUK-KIX
SFO;EUG;451;SFO-EUG
SOU;NTE;263;SOU-NTE
BOG;SJU;1097;BOG-SJU
MVF;CAC;1735;MVF-CAC
BGY;SID;2741;BGY-SID
PRN;SAW;441;PRN-SAW
IZA;CXJ;729;IZA-CXJ
NZH;HET;515;NZH-HET
GEL;GRU;584;GEL-GRU
LIM;STI;2206;LIM-STI
MVD;MDE;3091;MVD-MDE
MCO;ARX;3681;MCO-ARX
PEK;CZX;609;PEK-CZX
DEL;EWR;7323;DEL-EWR
AWZ;SRY;444;AWZ-SRY
GLA;SPU;1252;GLA-SPU
SZX;HFE;679;SZX-HFE
YCF;YGE;2;YCF-YGE
SJC;ORD;1829;SJC-ORD
STL;SLC;1152;STL-SLC
HAV;LIR;878;HAV-LIR
CWB;JTC;233;CWB-JTC
VKO;HAM;1092;VKO-HAM
CPV;POJ;1062;CPV-POJ
CLV;JPR;1004;CLV-JPR
SPU;FRA;579;SPU-FRA
TMP;RIX;309;TMP-RIX
RAO;MGF;315;RAO-MGF
BOS;CDG;3437;BOS-CDG
GSP;ATL;154;GSP-ATL
DCA;BTV;436;DCA-BTV
MLA;BFS;1633;MLA-BFS
PVG;CAN;752;PVG-CAN
BOD;TUN;793;BOD-TUN
GSP;DCA;395;GSP-DCA
KSM;MOU;13;KSM-MOU
GRX;LCY;1006;GRX-LCY
LED;SVX;1118;LED-SVX
CNF;TPA;4168;CNF-TPA
KIX;FUK;287;KIX-FUK
HER;IEV;1073;HER-IEV
OAX;DAV;1131;OAX-DAV
SJU;BOG;1097;SJU-BOG
NRT;LKL;4466;NRT-LKL
SID;BGY;2741;SID-BGY
SAW;PRN;441;SAW-PRN
ORY;UMU;6072;ORY-UMU
MNL;TAG;387;MNL-TAG
GRU;GEL;584;GRU-GEL
STI;LIM;2206;STI-LIM
KIN;PLS;396;KIN-PLS
CAN;TYN;1018;CAN-TYN
DXB;LRR;177;DXB-LRR
EWR;DEL;7323;EWR-DEL
SRY;AWZ;444;SRY-AWZ
SPU;GLA;1252;SPU-GLA
BGA;CIX;1061;BGA-CIX
YGE;YCF;2;YGE-YCF
ATH;FRA;1129;ATH-FRA
POS;SJO;1557;POS-SJO
LIR;HAV;878;LIR-HAV
JTC;CWB;233;JTC-CWB
AMS;BRE;176;AMS-BRE
POJ;CPV;1062;POJ-CPV
JPR;CLV;1004;JPR-CLV
CWB;SSA;1122;CWB-SSA
AEB;CAN;6653;AEB-CAN
OUD;ACE;795;OUD-ACE
CDG;BOS;3437;CDG-BOS
JFK;PVR;2304;JFK-PVR
CXJ;FLL;4265;CXJ-FLL
CTG;CUU;2338;CTG-CUU
HRB;KHN;1317;HRB-KHN
TUN;BOD;793;TUN-BOD
LOP;PER;1595;LOP-PER
MOU;KSM;13;MOU-KSM
LCY;GRX;1006;LCY-GRX
SVX;LED;1118;SVX-LED
TPA;CNF;4168;TPA-CNF
BPG;SLZ;1072;BPG-SLZ
BOG;LIS;4677;BOG-LIS
ANC;CDB;618;ANC-CDB
BGX;PVH;1710;BGX-PVH
YGQ;YQT;143;YGQ-YQT
GEO;MEX;2883;GEO-MEX
IEV;IST;656;IEV-IST
UMU;ORY;6072;UMU-ORY
TAG;MNL;387;TAG-MNL
ACA;CUR;2085;ACA-CUR
BEY;LTK;112;BEY-LTK
PLS;KIN;396;PLS-KIN
TYN;CAN;1018;TYN-CAN
LRR;DXB;177;LRR-DXB
CAW;RIA;948;CAW-RIA
STW;VKO;756;STW-VKO
NNG;YTY;967;NNG-YTY
CIX;BGA;1061;CIX-BGA
DPS;KIX;3257;DPS-KIX
FRA;ATH;1129;FRA-ATH
SJO;POS;1557;SJO-POS
CZM;DFW;1057;CZM-DFW
HET;HGH;871;HET-HGH
BRE;AMS;176;BRE-AMS
CMG;NAT;1758;CMG-NAT
OGG;SJC;2353;OGG-SJC
SSA;CWB;1122;SSA-CWB
CAN;AEB;6653;CAN-AEB
LJU;TIA;430;LJU-TIA
TTQ;FON;73;TTQ-FON
PVR;JFK;2304;PVR-JFK
FLL;CXJ;4265;FLL-CXJ
CUU;CTG;2338;CUU-CTG
KHN;HRB;1317;KHN-HRB
ASE;ORD;1013;ASE-ORD
PER;LOP;1595;PER-LOP
HRG;ZNZ;2325;HRG-ZNZ
ETZ;LYS;231;ETZ-LYS
VRA;YQR;2267;VRA-YQR
DFW;YEG;1630;DFW-YEG
SLZ;BPG;1072;SLZ-BPG
LIS;BOG;4677;LIS-BOG
CDB;ANC;618;CDB-ANC
PVH;BGX;1710;PVH-BGX
YQT;YGQ;143;YQT-YGQ
MEX;GEO;2883;MEX-GEO
IST;IEV;656;IST-IEV
BOJ;RIX;1008;BOJ-RIX
CGQ;NBS;175;CGQ-NBS
CUR;ACA;2085;CUR-ACA
LTK;BEY;112;LTK-BEY
BWI;YUL;459;BWI-YUL
ATL;SBN;568;ATL-SBN
CRW;DFW;946;CRW-DFW
RIA;CAW;948;RIA-CAW
VKO;STW;756;VKO-STW
YTY;NNG;967;YTY-NNG
FRA;MSP;4392;FRA-MSP
KIX;DPS;3257;KIX-DPS
MSP;SFO;1589;MSP-SFO
GYN;THE;909;GYN-THE
DFW;CZM;1057;DFW-CZM
HGH;HET;871;HGH-HET
LGW;SKG;1325;LGW-SKG
NAT;CMG;1758;NAT-CMG
SJC;OGG;2353;SJC-OGG
CTS;SYO;301;CTS-SYO
ATL;DUS;4495;ATL-DUS
TIA;LJU;430;TIA-LJU
SLP;TIJ;1211;SLP-TIJ
ALA;DME;1919;ALA-DME
SSA;TPA;4083;SSA-TPA
THE;VIX;1064;THE-VIX
BUD;YYZ;4444;BUD-YYZ
ORD;ASE;1013;ORD-ASE
JNB;NTY;76;JNB-NTY
ZNZ;HRG;2325;ZNZ-HRG
LYS;ETZ;231;LYS-ETZ
YQR;VRA;2267;YQR-VRA
YEG;DFW;1630;YEG-DFW
RVD;TXF;743;RVD-TXF
CCS;POS;382;CCS-POS
MYG;NAS;336;MYG-NAS
ALP;ARN;1837;ALP-ARN
JTR;MXP;1079;JTR-MXP
CSX;TXN;341;CSX-TXN
ULG;ULN;772;ULG-ULN
RIX;BOJ;1008;RIX-BOJ
NBS;CGQ;175;NBS-CGQ
INI;ZRH;705;INI-ZRH
OSS;OVB;1103;OSS-OVB
YUL;BWI;459;YUL-BWI
SBN;ATL;568;SBN-ATL
DFW;CRW;946;DFW-CRW
EWR;JFK;21;EWR-JFK
FRA;HRG;2059;FRA-HRG
NBO;POL;842;NBO-POL
MSP;FRA;4392;MSP-FRA
SKN;TOS;122;SKN-TOS
SFO;MSP;1589;SFO-MSP
THE;GYN;909;THE-GYN
KUL;USM;455;KUL-USM
ABQ;SVC;188;ABQ-SVC
SKG;LGW;1325;SKG-LGW
CFC;CWB;142;CFC-CWB
JPR;TBT;718;JPR-TBT
SYO;CTS;301;SYO-CTS
DUS;ATL;4495;DUS-ATL
AXP;CRI;24;AXP-CRI
TIJ;SLP;1211;TIJ-SLP
DME;ALA;1919;DME-ALA
TPA;SSA;4083;TPA-SSA
VIX;THE;1064;VIX-THE
YYZ;BUD;4444;YYZ-BUD
FLL;ZSA;378;FLL-ZSA
NTY;JNB;76;NTY-JNB
CAB;SZA;34;CAB-SZA
EZE;MVD;142;EZE-MVD
GPB;VIX;798;GPB-VIX
PUY;SXF;518;PUY-SXF
TXF;RVD;743;TXF-RVD
POS;CCS;382;POS-CCS
NAS;MYG;336;NAS-MYG
ARN;ALP;1837;ARN-ALP
MXP;JTR;1079;MXP-JTR
TXN;CSX;341;TXN-CSX
ULN;ULG;772;ULN-ULG
BRI;MUC;544;BRI-MUC
BCN;LPL;862;BCN-LPL
ZRH;INI;705;ZRH-INI
OVB;OSS;1103;OVB-OSS
BGA;MIA;1367;BGA-MIA
GUA;LIR;434;GUA-LIR
BPG;TOW;616;BPG-TOW
JFK;EWR;21;JFK-EWR
HRG;FRA;2059;HRG-FRA
POL;NBO;842;POL-NBO
TSF;TSR;440;TSF-TSR
TOS;SKN;122;TOS-SKN
NAT;RVD;1342;NAT-RVD
FRA;KWI;2497;FRA-KWI
USM;KUL;455;USM-KUL
SVC;ABQ;188;SVC-ABQ
NVT;THE;1556;NVT-THE
CWB;CFC;142;CWB-CFC
TBT;JPR;718;TBT-JPR
CAN;DAC;1449;CAN-DAC
MVR;NGE;218;MVR-NGE
CRI;AXP;24;CRI-AXP
SHV;UIO;2457;SHV-UIO
BOG;MHT;2637;BOG-MHT
CKS;IMP;179;CKS-IMP
AAL;NCE;935;AAL-NCE
DTM;PMI;859;DTM-PMI
ZSA;FLL;378;ZSA-FLL
MCO;OMA;1211;MCO-OMA
SZA;CAB;34;SZA-CAB
MVD;EZE;142;MVD-EZE
VIX;GPB;798;VIX-GPB
SXF;PUY;518;SXF-PUY
AKL;VLI;1391;AKL-VLI
CPH;TRF;253;CPH-TRF
JAX;MDW;849;JAX-MDW
LZH;PEK;1173;LZH-PEK
CAN;DLC;1195;CAN-DLC
ROS;UDI;1242;ROS-UDI
BRS;PSA;808;BRS-PSA
MUC;BRI;544;MUC-BRI
LPL;BCN;862;LPL-BCN
CRD;EZE;890;CRD-EZE
FLL;STM;2585;FLL-STM
MIA;BGA;1367;MIA-BGA
LIR;GUA;434;LIR-GUA
TOW;BPG;616;TOW-BPG
FEC;VVI;1659;FEC-VVI
FLL;HPN;1100;FLL-HPN
CAI;MNL;5760;CAI-MNL
TSR;TSF;440;TSR-TSF
CDG;HRG;2245;CDG-HRG
RVD;NAT;1342;RVD-NAT
KWI;FRA;2497;KWI-FRA
ERF;HRG;2032;ERF-HRG
HDY;KUL;274;HDY-KUL
THE;NVT;1556;THE-NVT
ATL;MAN;4088;ATL-MAN
IQT;JFK;3057;IQT-JFK
DAC;CAN;1449;DAC-CAN
NGE;MVR;218;NGE-MVR
ESC;IMT;50;ESC-IMT
CLV;GIG;494;CLV-GIG
AFL;BRC;2349;AFL-BRC
IMP;CKS;179;IMP-CKS
NCE;AAL;935;NCE-AAL
PMI;DTM;859;PMI-DTM
CAI;HRG;236;CAI-HRG
OMA;MCO;1211;OMA-MCO
CAW;LIS;4677;CAW-LIS
SHA;ZUH;780;SHA-ZUH
CGQ;YNJ;227;CGQ-YNJ
DEL;SYD;6476;DEL-SYD
VLI;AKL;1391;VLI-AKL
TRF;CPH;253;TRF-CPH
MDW;JAX;849;MDW-JAX
PEK;LZH;1173;PEK-LZH
DLC;CAN;1195;DLC-CAN
UDI;ROS;1242;UDI-ROS
PSA;BRS;808;PSA-BRS
CFU;VNO;1068;CFU-VNO
PSC;LIR;3151;PSC-LIR
EZE;CRD;890;EZE-CRD
STM;FLL;2585;STM-FLL
DME;ORY;1557;DME-ORY
HER;SVX;2215;HER-SVX
SUF;VCE;496;SUF-VCE
VVI;FEC;1659;VVI-FEC
HPN;FLL;1100;HPN-FLL
MNL;CAI;5760;MNL-CAI
KTL;NBO;209;KTL-NBO
HRG;CDG;2245;HRG-CDG
COR;RVD;1247;COR-RVD
FIH;NBO;1498;FIH-NBO
HRG;ERF;2032;HRG-ERF
KUL;HDY;274;KUL-HDY
JED;SAH;530;JED-SAH
MAN;ATL;4088;MAN-ATL
JFK;IQT;3057;JFK-IQT
AUH;CGK;4093;AUH-CGK
AYT;SHJ;1659;AYT-SHJ
IMT;ESC;50;IMT-ESC
GIG;CLV;494;GIG-CLV
BRC;AFL;2349;BRC-AFL
KUF;VAR;1241;KUF-VAR
LMP;MXP;729;LMP-MXP
CKY;DKR;442;CKY-DKR
HRG;CAI;236;HRG-CAI
BIQ;OSL;1271;BIQ-OSL
LIS;CAW;4677;LIS-CAW
ZUH;SHA;780;ZUH-SHA
YNJ;CGQ;227;YNJ-CGQ
SYD;DEL;6476;SYD-DEL
SFO;TRU;4205;SFO-TRU
BPS;PLU;397;BPS-PLU
JJG;REC;1692;JJG-REC
BOS;SFO;2704;BOS-SFO
ABZ;JER;553;ABZ-JER
ABQ;HOU;758;ABQ-HOU
IMP;LDB;1254;IMP-LDB
VNO;CFU;1068;VNO-CFU
KEF;OSL;1097;KEF-OSL
SDN;BGO;111;SDN-BGO
OAL;PET;1513;OAL-PET
ORY;DME;1557;ORY-DME
SVX;HER;2215;SVX-HER
VCE;SUF;496;VCE-SUF
GVA;TXL;543;GVA-TXL
CMN;SAW;2081;CMN-SAW
BVB;STM;480;BVB-STM
NBO;KTL;209;NBO-KTL
CIA;KIV;881;CIA-KIV
RVD;COR;1247;RVD-COR
NBO;FIH;1498;NBO-FIH
MDE;PUJ;977;MDE-PUJ
KEF;YHZ;2064;KEF-YHZ
SAH;JED;530;SAH-JED
BOG;EZE;2907;BOG-EZE
MCO;ROC;1034;MCO-ROC
CGK;AUH;4093;CGK-AUH
SHJ;AYT;1659;SHJ-AYT
BYO;CNF;816;BYO-CNF
AJL;GAU;180;AJL-GAU
PTY;VVI;2146;PTY-VVI
VAR;KUF;1241;VAR-KUF
MXP;LMP;729;MXP-LMP
DKR;CKY;442;DKR-CKY
NZH;PVG;1292;NZH-PVG
OSL;BIQ;1271;OSL-BIQ
BER;LGW;589;BER-LGW
CLJ;MAD;1422;CLJ-MAD
ARX;THE;347;ARX-THE
LED;PFO;1734;LED-PFO
TRU;SFO;4205;TRU-SFO
PLU;BPS;397;PLU-BPS
REC;JJG;1692;REC-JJG
SFO;BOS;2704;SFO-BOS
JER;ABZ;553;JER-ABZ
HOU;ABQ;758;HOU-ABQ
LDB;IMP;1254;LDB-IMP
LIR;PUJ;1274;LIR-PUJ
OSL;KEF;1097;OSL-KEF
KUL;URT;441;KUL-URT
PET;OAL;1513;PET-OAL
MIA;PHX;1968;MIA-PHX
CNF;VSA;4206;CNF-VSA
BMA;VBY;117;BMA-VBY
TXL;GVA;543;TXL-GVA
SAW;CMN;2081;SAW-CMN
STM;BVB;480;STM-BVB
BCN;DOK;1800;BCN-DOK
KIV;CIA;881;KIV-CIA
CAN;KWL;230;CAN-KWL
HAM;KEF;1350;HAM-KEF
PUJ;MDE;977;PUJ-MDE
YHZ;KEF;2064;YHZ-KEF
GAY;PBH;333;GAY-PBH
EZE;BOG;2907;EZE-BOG
ROC;MCO;1034;ROC-MCO
CUC;EZE;3080;CUC-EZE
KIN;POA;3712;KIN-POA
CNF;BYO;816;CNF-BYO
GAU;AJL;180;GAU-AJL
VVI;PTY;2146;VVI-PTY
CCJ;CMB;451;CCJ-CMB
CAI;LXR;317;CAI-LXR
SHJ;THR;757;SHJ-THR
PVG;NZH;0;PVG-NZH
BRU;FAO;1139;BRU-FAO
LGW;BER;589;LGW-BER
MAD;CLJ;1422;MAD-CLJ
THE;ARX;347;THE-ARX
PFO;LED;1734;PFO-LED
FRA;SKG;958;FRA-SKG
DCA;PVD;355;DCA-PVD
ATL;YYC;1914;ATL-YYC
CZM;IAH;837;CZM-IAH
VKO;SOF;1086;VKO-SOF
CVG;IAH;871;CVG-IAH
BRQ;LTN;771;BRQ-LTN
PUJ;LIR;1274;PUJ-LIR
GYS;SZX;846;GYS-SZX
URT;KUL;441;URT-KUL
LUC;NAN;203;LUC-NAN
PHX;MIA;1968;PHX-MIA
VSA;CNF;4206;VSA-CNF
VBY;BMA;117;VBY-BMA
BPS;UMU;1053;BPS-UMU
CIY;FCO;355;CIY-FCO
MAR;PTY;532;MAR-PTY
DOK;BCN;1800;DOK-BCN
AFL;MVF;1325;AFL-MVF
KWL;CAN;230;KWL-CAN
KEF;HAM;1350;KEF-HAM
IUI;JUV;4833;IUI-JUV
TLC;VSA;452;TLC-VSA
PBH;GAY;333;PBH-GAY
MCP;SJP;1445;MCP-SJP
PHB;SJP;1342;PHB-SJP
EZE;CUC;3080;EZE-CUC
POA;KIN;3712;POA-KIN
LAX;SMF;373;LAX-SMF
BIL;LWT;97;BIL-LWT
BXN;IST;266;BXN-IST
CMB;CCJ;451;CMB-CCJ
LXR;CAI;317;LXR-CAI
THR;SHJ;757;THR-SHJ
BCN;OTP;1230;BCN-OTP
FAO;BRU;1139;FAO-BRU
MFM;MYJ;1414;MFM-MYJ
BTR;CLT;674;BTR-CLT
CVM;MAM;168;CVM-MAM
OHD;AMS;1075;OHD-AMS
SKG;FRA;958;SKG-FRA
PVD;DCA;355;PVD-DCA
YYC;ATL;1914;YYC-ATL
IAH;CZM;837;IAH-CZM
POA;SMT;1244;POA-SMT
IAH;CVG;871;IAH-CVG
LTN;BRQ;771;LTN-BRQ
BLZ;HRE;300;BLZ-HRE
SZX;GYS;846;SZX-GYS
HJJ;KMG;416;HJJ-KMG
NAN;LUC;203;NAN-LUC
CAY;UBA;1717;CAY-UBA
SFT;TLL;380;SFT-TLL
GEO;DFW;3082;GEO-DFW
UMU;BPS;1053;UMU-BPS
FCO;CIY;355;FCO-CIY
PTY;MAR;532;PTY-MAR
ERF;TFS;2134;ERF-TFS
MVF;AFL;1325;MVF-AFL
KUT;TBS;132;KUT-TBS
AMD;KUL;2397;AMD-KUL
JUV;IUI;4833;JUV-IUI
VSA;TLC;452;VSA-TLC
FKB;KGS;1266;FKB-KGS
SJP;MCP;1445;SJP-MCP
SJP;PHB;1342;SJP-PHB
MVF;SJP;1350;MVF-SJP
CLE;STL;487;CLE-STL
SMF;LAX;373;SMF-LAX
LWT;BIL;97;LWT-BIL
IST;BXN;266;IST-BXN
GIG;VAL;714;GIG-VAL
ALP;IST;550;ALP-IST
NAT;SSA;533;NAT-SSA
OTP;BCN;1230;OTP-BCN
JMK;SKG;248;JMK-SKG
MYJ;MFM;1414;MYJ-MFM
CLT;BTR;674;CLT-BTR
MAM;CVM;168;MAM-CVM
LNY;MKK;27;LNY-MKK
PFO;SVO;1484;PFO-SVO
BOS;SAN;2588;BOS-SAN
IAD;YVR;2344;IAD-YVR
KGS;STR;1218;KGS-STR
SMT;POA;1244;SMT-POA
POZ;ZAD;578;POZ-ZAD
LTN;OLB;891;LTN-OLB
HRE;BLZ;300;HRE-BLZ
PMG;ROO;416;PMG-ROO
KMG;HJJ;416;KMG-HJJ
CAY;JPR;1292;CAY-JPR
UBA;CAY;1717;UBA-CAY
TLL;SFT;380;TLL-SFT
HHA;NKG;436;HHA-NKG
MRU;PEK;5630;MRU-PEK
CPH;DUS;385;CPH-DUS
AEP;SDE;584;AEP-SDE
TFS;ERF;2134;TFS-ERF
LKG;LOK;116;LKG-LOK
TBS;KUT;132;TBS-KUT
KUL;AMD;2397;KUL-AMD
EOH;IBE;128;EOH-IBE
ADD;DIR;213;ADD-DIR
KGS;FKB;1266;KGS-FKB
GUW;URA;279;GUW-URA
JJG;JTC;450;JJG-JTC
SJP;MVF;1350;SJP-MVF
STL;CLE;487;STL-CLE
EYW;RSW;136;EYW-RSW
CMF;CWL;580;CMF-CWL
ICN;VTE;1970;ICN-VTE
VAL;GIG;714;VAL-GIG
IST;ALP;550;IST-ALP
SSA;NAT;533;SSA-NAT
GDL;TRU;2565;GDL-TRU
SKG;JMK;248;SKG-JMK
GDN;MAD;1398;GDN-MAD
SNU;YQR;2344;SNU-YQR
AMS;SEA;4871;AMS-SEA
MKK;LNY;27;MKK-LNY
SVO;PFO;1484;SVO-PFO
SAN;BOS;2588;SAN-BOS
YVR;IAD;2344;YVR-IAD
STR;KGS;1218;STR-KGS
PMG;TFF;1454;PMG-TFF
ZAD;POZ;578;ZAD-POZ
OLB;LTN;891;OLB-LTN
ORD;SLN;559;ORD-SLN
ROO;PMG;416;ROO-PMG
LST;SYD;568;LST-SYD
JPR;CAY;1292;JPR-CAY
FUE;OSL;2484;FUE-OSL
MVF;ROS;2439;MVF-ROS
NKG;HHA;436;NKG-HHA
PEK;MRU;0;PEK-MRU
DUS;CPH;385;DUS-CPH
SDE;AEP;584;SDE-AEP
OPS;STM;656;OPS-STM
LOK;LKG;116;LOK-LKG
BRC;TOW;1517;BRC-TOW
LIM;POS;1895;LIM-POS
IBE;EOH;128;IBE-EOH
DIR;ADD;213;DIR-ADD
PTY;SCL;2975;PTY-SCL
URA;GUW;0;URA-GUW
JTC;JJG;450;JTC-JJG
AUH;KBP;2194;AUH-KBP
LZO;SZX;690;LZO-SZX
RSW;EYW;136;RSW-EYW
CWL;CMF;580;CWL-CMF
VTE;ICN;1970;VTE-ICN
YPL;YQT;216;YPL-YQT
SXF;TFS;2278;SXF-TFS
RIX;SAW;1133;RIX-SAW
TRU;GDL;2565;TRU-GDL
CGR;PTO;417;CGR-PTO
MAD;GDN;1398;MAD-GDN
YQR;SNU;2344;YQR-SNU
