IATA,Airport,Location
MFW,Magaruque Airport,"Magaruque Island, Mozambique"
MFX,Méribel Altiport,"Méribel, Rhône-Alpes, France"
MFY,Mayfa'ah Airport,"Mayfa'ah, Yemen"
MFZ,Meselia Airport,"Meselia, Papua New Guinea"
MGA,Augusto C. Sandino International Airport,"Managua, Nicaragua"
MGB,Mount Gambier Airport,"Mount Gambier, South Australia, Australia"
MGC,Michigan City Municipal Airport,"Michigan City, Indiana, United States"
MGD,Magdalena Airport,"Magdalena, Bolivia"
MGE,Dobbins Air Reserve Base,"Marietta, Georgia, United States"
MGF,Sílvio Name Júnior Regional Airport,"Maringá, Paraná, Brazil"
MGG,Margarima Airport,"Margarima, Papua New Guinea"
MGH,Margate Airport,"Margate, South Africa"
MGI,Aransas National Wildlife Refuge Airport (FAA: XS10),"Matagorda Island, Texas, United States"
MGJ,Orange County Airport,"Montgomery, New York, United States"
MGK,Mong Ton Airport,"Mong Ton, Myanmar"
MGL,Düsseldorf Mönchengladbach Airport,"Mönchengladbach, North Rhine-Westphalia, Germany"
MGM,Montgomery Regional Airport (Dannelly Field),"Montgomery, Alabama, United States"
MGN,Baracoa Regional Airport,"Magangué, Colombia"
MGO,Manega Airport,"Manega, Gabon"
MGP,Manga Airport,"Manga, Papua New Guinea"
MGQ,Aden Adde International Airport,"Mogadishu, Somalia"
MGR,Moultrie Municipal Airport,"Moultrie, Georgia, United States"
MGS,Mangaia Airport,"Mangaia Island, Cook Islands"
MGT,Milingimbi Airport,"Milingimbi Island, Northern Territory, Australia"
MGU,Manaung Airport,"Manaung, Myanmar"
MGV,Margaret River Station Airport,"Margaret River Station, Western Australia, Australia"
MGW,Morgantown Municipal Airport (Walter L. Bill Hart Field),"Morgantown, West Virginia, United States"
MGX,Moabi Airport,"Moabi, Gabon"
MGY,Dayton–Wright Brothers Airport,"Dayton, Ohio, United States"
MGZ,Myeik Airport,"Myeik, Myanmar"
MHA,Mahdia Airport,"Mahdia, Guyana"
MHC,Mocopulli Airport,"Castro, Chile"
MHD,Mashhad International Airport (Shahid Hashemi Nejad Airport),"Mashhad, Iran"
MHE,Mitchell Municipal Airport,"Mitchell, South Dakota, United States"
MHF,Morichal Airport,"Morichal, Colombia"
MHG,Mannheim City Airport,"Mannheim, Baden-Württemberg, Germany"
MHH,Marsh Harbour Airport,"Marsh Harbour, Abaco Islands, Bahamas"
MHI,Moucha Airport,"Moucha Island, Djibouti"
MHK,Manhattan Regional Airport,"Manhattan, Kansas, United States"
MHL,Marshall Memorial Municipal Airport,"Marshall, Missouri, United States"
MHN,Hooker County Airport,"Mullen, Nebraska, United States"
MHO,Mount House Airport,"Mount House Station, Western Australia, Australia"
MHP,Minsk-1 Airport,"Minsk, Belarus"
MHQ,Mariehamn Airport,"Mariehamn, Åland Islands, Finland"
MHR,Sacramento Mather Airport,"Sacramento, California, United States"
MHS,Dunsmuir Municipal-Mott Airport (FAA: 1O6),"Mount Shasta, California, United States"
MHT,Manchester–Boston Regional Airport,"Manchester, New Hampshire, United States"
MHU,Mount Hotham Airport,"Mount Hotham, Victoria, Australia"
MHV,Mojave Air and Space Port,"Mojave, California, United States"
MHW,Monteagudo Airport,"Monteagudo, Bolivia"
MHX,Manihiki Island Airport,"Manihiki, Cook Islands"
MHY,Morehead Airport,"Morehead, Papua New Guinea"
MHZ,RAF Mildenhall,"Mildenhall, England, United Kingdom"
MIA,Miami International Airport,"Miami, Florida, United States"
MIB,Minot Air Force Base,"Minot, North Dakota, United States"
MIC,Crystal Airport,"Minneapolis / St Paul, Minnesota, United States"
MID,Manuel Crescencio Rejón International Airport,"Mérida, Yucatán, Mexico"
MIE,Delaware County Regional Airport,"Muncie, Indiana, United States"
MIF,Roy Hurd Memorial Airport (FAA: E01),"Monahans, Texas, United States"
MIG,Mianyang Nanjiao Airport,"Mianyang, Sichuan, China"
MIH,Mitchell Plateau Airport,"Mitchell Plateau, Western Australia, Australia"
MII,Frank Miloye Milenkowichi–Marília State Airport,"Marília, São Paulo, Brazil"
MIJ,Mili Airport (FAA: 1Q9),"Mili Atoll, Marshall Islands"
MIK,Mikkeli Airport,"Mikkeli, Finland"
MIL[1],metropolitan area1,"Milan, Lombardy, Italy"
MIM,Merimbula Airport,"Merimbula, New South Wales, Australia"
MIN,Minnipa Airport,"Minnipa, South Australia, Australia"
MIO,Miami Municipal Airport,"Miami, Oklahoma, United States"
MIP,Mitzpe Ramon Airport,"Mitzpe Ramon, Israel"
MIQ,Millard Airport (FAA: MLE),"Omaha, Nebraska, United States"
MIR,Monastir Habib Bourguiba International Airport,"Monastir, Tunisia"
MIS,Misima Island Airport,"Misima Island, Papua New Guinea"
MIT,Shafter Airport (Minter Field),"Shafter, California, United States"
MIU,Maiduguri International Airport,"Maiduguri, Nigeria"
MIV,Millville Municipal Airport,"Millville, New Jersey, United States"
MIW,Marshalltown Municipal Airport,"Marshalltown, Iowa, United States"
MIX,Mirití-Paraná Airport,"Mirití-Paraná, Colombia"
MIY,Mittiebah Airport,"Mittiebah Station, Northern Territory, Australia"
MIZ,Mainoru Airport,"Mainoru, Northern Territory, Australia"
MJA,Manja Airport,"Manja, Madagascar"
MJB,Mejit Airport (FAA: Q30),"Mejit Island, Marshall Islands"
MJC,Man Airport,"Man, Ivory Coast"
MJD,Moenjodaro Airport,"Mohenjo-daro, Pakistan"
MJE,Majkin Airport,"Majkin, Marshall Islands"
MJF,"Mosjøen Airport, Kjærstad","Mosjøen, Norway"
MJI,Mitiga International Airport,"Tripoli, Libya"
MJJ,Moki Airport,"Moki, Papua New Guinea"
MJK,Shark Bay Airport,"Monkey Mia, Western Australia, Australia"
MJL,Mouila Airport,"Mouila, Gabon"
MJM,Mbuji Mayi Airport,"Mbuji-Mayi, Democratic Republic of the Congo"
MJN,Amborovy Airport (Philibert Tsiranana Airport),"Mahajanga, Madagascar"
MJO,Mount Etjo Airport,"Mount Etjo, Namibia"
MJP,Manjimup Airport,"Manjimup, Western Australia, Australia"
MJQ,Jackson Municipal Airport,"Jackson, Minnesota, United States"
MJR,Miramar Airport,"Miramar, Buenos Aires, Argentina"
MJS,Maganja da Costa Airport,"Maganja da Costa, Mozambique"
MJT,Mytilene International Airport,"Mytilene, Lesbos, Greece"
MJU,Tampa Padang Airport,"Mamuju, Indonesia"
MJV,Murcia–San Javier Airport,"Murcia, Region of Murcia, Spain"
MJW,Mahenye Airport,"Mahenye, Zimbabwe"
MJX,Robert J. Miller Air Park (Ocean County Airport),"Toms River, New Jersey, United States"
MJZ,Mirny Airport,"Mirny, Yakutia, Russia"
MKA,Mariánské Lázne Airport,"Mariánské Lázne, Czech Republic"
MKB,Mékambo Airport,"Mékambo, Gabon"
MKC,Charles B. Wheeler Downtown Airport,"Kansas City, Missouri, United States"
MKE,General Mitchell International Airport,"Milwaukee, Wisconsin, United States"
MKF,Miangas Airport,"Miangas, Indonesia"
MKG,Muskegon County Airport,"Muskegon, Michigan, United States"
MKH,Mokhotlong Airport,"Mokhotlong, Lesotho"
MKI,M'Boki Airport,"Obo, Central African Republic"
MKJ,Makoua Airport,"Makoua, Republic of the Congo"
MKK,Molokai Airport,"Kaunakakai, Hawaii, United States"
MKL,McKellar–Sipes Regional Airport,"Jackson, Tennessee, United States"
MKM,Mukah Airport,"Mukah, Sarawak, Malaysia"
MKN,Malekolon Airport,"Malekolon, Papua New Guinea"
MKO,Davis Field,"Muskogee, Oklahoma, United States"
MKP,Makemo Airport,"Makemo, French Polynesia"
MKQ,Mopah Airport,"Merauke, Indonesia"
MKR,Meekatharra Airport,"Meekatharra, Western Australia, Australia"
MKS,Mekane Selam Airport,"Mekane Selam, Ethiopia"
MKT,Mankato Regional Airport,"Mankato, Minnesota, United States"
MKU,Makokou Airport,"Makokou, Gabon"
MKV,Mount Cavenagh Airport,"Mount Cavenagh, Northern Territory, Australia"
MKW,Rendani Airport,"Manokwari, Indonesia"
MKY,Mackay Airport,"Mackay, Queensland, Australia"
MKZ,Malacca International Airport,"Malacca City, Malacca, Malaysia"
MLA,Malta International Airport (Luqa Airport),"Luqa, Malta"
MLB,Orlando Melbourne International Airport,"Melbourne, Florida, United States"
MLC,McAlester Regional Airport,"McAlester, Oklahoma, United States"
MLD,Malad City Airport,"Malad City, Idaho, United States"
MLE,Ibrahim Nasir International Airport,"Malé, Maldives"
MLF,Milford Municipal Airport (Ben and Judy Briscoe Field),"Milford, Utah, United States"
MLG,Abdul Rachman Saleh Airport,"Malang, Indonesia"
MLH,EuroAirport Basel Mulhouse Freiburg,"Mulhouse, Alsace, France"
MLI,Quad City International Airport,"Moline, Illinois, United States"
MLJ,Baldwin County Airport,"Milledgeville, Georgia, United States"
MLK,Malta Airport (FAA: M75),"Malta, Montana, United States"
MLL,Marshall Don Hunter Sr. Airport (FAA: MDM),"Marshall, Alaska, United States"
MLM,General Francisco J. Mujica International Airport,"Morelia, Michoacán, Mexico"
MLN,Melilla Airport,"Melilla, Spain"
MLO,Milos Island National Airport,"Milos, Greece"
MLP,Malabang Airport,"Malabang, Philippines"
MLQ,Malalaua Airport,"Malalaua, Papua New Guinea"
MLR,Millicent Airport,"Millicent, South Australia, Australia"
MLS,Miles City Airport (Frank Wiley Field),"Miles City, Montana, United States"
MLT,Millinocket Municipal Airport,"Millinocket, Maine, United States"
MLU,Monroe Regional Airport,"Monroe, Louisiana, United States"
MLV,Merluna Airport,"Merluna, Queensland, Australia"
MLW,Spriggs Payne Airport,"Monrovia, Liberia"
MLX,Malatya Erhaç Airport,"Malatya, Turkey"
MLY,Manley Hot Springs Airport,"Manley Hot Springs, Alaska, United States"
MLZ,Cerro Largo International Airport,"Melo, Uruguay"
MMA[1],metropolitan area2,"Malmö, Sweden"
MMB,Memanbetsu Airport,"Ozora, Hokkaido, Japan"
MMC,Ciudad Mante National Airport,"Ciudad Mante, Tamaulipas, Mexico"
MMD,Minami-Daito Airport,"Minamidaito, Daito Islands, Japan"
MME,Durham Tees Valley Airport,"Teesside, England, United Kingdom"
MMF,Mamfe Airport,"Mamfe, Cameroon"
MMG,Mount Magnet Airport,"Mount Magnet, Western Australia, Australia"
MMH,Mammoth Yosemite Airport,"Mammoth Lakes, California, United States"
MMI,McMinn County Airport,"Athens, Tennessee, United States"
MMJ,Matsumoto Airport,"Matsumoto, Honshu, Japan"
MMK,Murmansk Airport,"Murmansk, Murmansk Oblast, Russia"
MML,Southwest Minnesota Regional Airport (Marshall/Ryan Field),"Marshall, Minnesota, United States"
MMM,Middlemount Airport,"Middlemount, Queensland, Australia"
MMN,Minute Man Air Field (FAA: 6B6),"Stow, Massachusetts, United States"
MMO,Maio Airport,"Maio Island, Cape Verde"
MMP,San Bernardo Airport,"Mompós (Mompóx), Colombia"
MMQ,Mbala Airport,"Mbala, Zambia"
MMS,Selfs Airport,"Marks, Mississippi, United States"
MMT,McEntire Joint National Guard Base,"Columbia, South Carolina, United States"
MMU,Morristown Municipal Airport,"Morristown, New Jersey, United States"
MMV,Mal Island Airport,"Mal Island, Papua New Guinea"
MMW,Moma Airport,"Moma, Mozambique"
MMX,Malmö Airport,"Malmö, Sweden"
MMY,Miyako Airport,"Miyakojima, Miyako Islands, Japan"
MMZ,Maymana Airport,"Maymana, Afghanistan"
MNA,Melangguane Airport,"Melonguane, Indonesia"
MNB,Muanda Airport (Moanda Airport),"Moanda, Democratic Republic of the Congo"
MNC,Nacala Airport,"Nacala, Mozambique"
MND,Medina Airport,"Medina, Colombia"
MNE,Mungeranie Airport,"Mungeranie, South Australia, Australia"
MNF,Mana Island Airport,"Mana Island, Fiji"
MNG,Maningrida Airport,"Maningrida, Northern Territory, Australia"
MNH,Al-Musannah Airport,"Al-Musannah, Oman"
MNI,John A. Osborne Airport,British Overseas Territory of Montserrat
MNJ,Mananjary Airport,"Mananjary, Madagascar"
MNK,Maiana Airport,"Maiana, Kiribati"
MNL,Ninoy Aquino International Airport / Villamor Air Base,"Manila, Philippines"
MNM,Menominee-Marinette Twin County Airport,"Menominee, Michigan, United States"
MNN,Marion Municipal Airport,"Marion, Ohio, United States"
MNO,Manono Airport,"Manono, Democratic Republic of the Congo"
MNP,Maron Island Airport,"Maron Island, Papua New Guinea"
MNQ,Monto Airport,"Monto, Queensland, Australia"
MNR,Mongu Airport,"Mongu, Zambia"
MNS,Mansa Airport,"Mansa, Zambia"
MNT,Minto Al Wright Airport (FAA: 51Z),"Minto, Alaska, United States"
MNU,Mawlamyaing Airport,"Mawlamyine (Mawlamyaing), Myanmar"
MNV,Mount Valley Airport,"Mount Valley, Northern Territory, Australia"
MNW,MacDonald Downs Airport,"MacDonald Downs, Northern Territory, Australia"
MNX,Manicoré Airport,"Manicoré, Amazonas, Brazil"
MNY,Mono Airport,"Mono Island, Treasury Islands, Solomon Islands"
MNZ,Manassas Regional Airport (FAA: HEF),"Manassas, Virginia, United States"
MOA,Orestes Acosta Airport,"Moa, Cuba"
MOB,Mobile Regional Airport,"Mobile, Alabama, United States"
MOC,Montes Claros/Mário Ribeiro Airport,"Montes Claros, Minas Gerais, Brazil"
MOD,Modesto City–County Airport (Harry Sham Field),"Modesto, California, United States"
MOE,Momeik Airport,"Momeik, Myanmar"
MOF,Frans Seda Airport (Wai Oti Airport),"Maumere, Indonesia"
MOG,Monghsat Airport,"Mong Hsat (Monghsat), Myanmar"
MOI,Mitiaro Airport (Nukuroa Airport),"Mitiaro Island, Cook Islands"
MOJ,Moengo Airstrip,"Moengo, Suriname"
MOL,"Molde Airport, Årø","Molde, Norway"
MOM,Letfotar Airport,"Moudjeria, Mauritania"
MON,Mount Cook Aerodrome,"Mount Cook, New Zealand"
MOO,Moomba Airport,"Moomba, South Australia, Australia"
MOP,Mount Pleasant Municipal Airport,"Mount Pleasant, Michigan, United States"
MOQ,Morondava Airport,"Morondava, Madagascar"
MOR,Morristown Regional Airport (Moore–Murrell Airport),"Morristown, Tennessee, United States"
MOS,Moses Point Airport,"Elim, Alaska, United States"
MOT,Minot International Airport,"Minot, North Dakota, United States"
MOU,Mountain Village Airport,"Mountain Village, Alaska, United States"
MOV,Moranbah Airport,"Moranbah, Queensland, Australia"
MOW[1],metropolitan area3,"Moscow, Russia"
MOX,Morris Municipal Airport,"Morris, Minnesota, United States"
MOY,Monterrey Airport,"Monterrey, Colombia"
MOZ,Moorea Airport (Temae Airport),"Mo'orea, Windward Islands, French Polynesia"
MPA,Katima Mulilo Airport (Mpacha Airport),"Katima Mulilo, Namibia"
MPB,Miami Seaplane Base (FAA: X44),"Miami, Florida, United States"
MPC,Muko-Muko Airport,"Muko-Muko, Indonesia"
MPD,Sindhri Airport,"Mirpur Khas, Pakistan"
MPF,Mapoda Airport,"Mapoda, Papua New Guinea"
MPG,Makini Airport,"Makini, Papua New Guinea"
MPH,Godofredo P. Ramos Airport (Caticlan Airport),"Malay, Philippines"
MPI,Mamitupo Airport,"Mamitupo, Panama"
MPJ,Petit Jean Park Airport,"Morrilton, Arkansas, United States"
MPL,Montpellier–Méditerranée Airport (Fréjorgues Airport),"Montpellier, Languedoc-Roussillon, France"
MPM,Maputo International Airport,"Maputo, Mozambique"
MPN,RAF Mount Pleasant,British Overseas Territory of Falkland Islands
MPO,Pocono Mountains Municipal Airport,"Mount Pocono, Pennsylvania, United States"
MPP,Mulatupo Airport,"Mulatupo, Panama"
MPQ,Ma'an Airport,"Ma'an, Jordan"
MPR,McPherson Airport,"McPherson, Kansas, United States"
MPS,Mount Pleasant Regional Airport (FAA: OSA),"Mount Pleasant, Texas, United States"
MPT,Maliana Airport,"Maliana, East Timor"
MPU,Mabua Airstrip,"Mabua, Papua New Guinea"
MPV,Edward F. Knapp State Airport,"Barre / Montpelier, Vermont, United States"
MPW,Mariupol International Airport,"Mariupol, Ukraine"
MPX,Miyanmin Airport,"Miyanmin, Papua New Guinea"
MPY,Maripasoula Airport,"Maripasoula, French Guiana"
MPZ,Mount Pleasant Municipal Airport,"Mount Pleasant, Iowa, United States"
MQA,Mandora Station Airport,"Mandora Station, Western Australia, Australia"
MQB,Macomb Municipal Airport,"Macomb, Illinois, United States"
MQC,Miquelon Airport,"Miquelon, Saint Pierre and Miquelon"
MQD,Maquinchao Airport,"Maquinchao, Río Negro, Argentina"
MQE,Marqua Airport,"Marqua, Northern Territory, Australia"
MQF,Magnitogorsk International Airport,"Magnitogorsk, Chelyabinsk Oblast5, Russia"
MQG,Midgard Airport,"Midgard, Namibia"
MQH,Minaçu Airport,"Minaçu, Goiás, Brazil"
MQJ,Moma Airport,"Khonuu, Yakutia, Russia"
MQK,San Matías Airport,"San Matías, Bolivia"
MQL,Mildura Airport,"Mildura, Victoria, Australia"
MQM,Mardin Airport,"Mardin, Turkey"
MQN,"Mo i Rana Airport, Røssvoll","Mo i Rana, Norway"
MQO,Malam Airport,"Malam, Papua New Guinea"
MQP,Kruger Mpumalanga International Airport,"Mbombela, South Africa"
MQQ,Moundou Airport,"Moundou, Chad"
MQR,Mosquera Airport,"Mosquera, Colombia"
MQS,Mustique Airport,"Mustique Island, Saint Vincent and the Grenadines"
MQT,Sawyer International Airport (FAA: SAW),"Marquette, Michigan, United States"
MQU,Mariquita Airport,"Mariquita, Colombia"
MQV,Mostaganem Airport,"Mostaganem, Algeria"
MQW,Telfair–Wheeler Airport,"McRae, Georgia, United States"
MQX,Alula Aba Nega Airport,"Mek'ele (Mekelle), Ethiopia"
MQY,Smyrna Airport,"Smyrna, Tennessee, United States"
MQZ,Margaret River Airport,"Margaret River, Western Australia, Australia"
MRA,Misrata Airport,"Misrata, Libya"
MRB,Eastern WV Regional Airport (Shepherd Field),"Martinsburg, West Virginia, United States"
MRC,Maury County Airport,"Columbia/Mount Pleasant, Tennessee, United States"
MRD,Alberto Carnevalli Airport,"Mérida, Venezuela"
MRE,Mara Serena Airport,"Maasai Mara, Kenya"
MRF,Marfa Municipal Airport,"Marfa, Texas, United States"
MRG,Mareeba Airfield,"Mareeba, Queensland, Australia"
MRH,May River Airport,"May River, Papua New Guinea"
MRI,Merrill Field,"Anchorage, Alaska, United States"
MRJ,Marcala Airport,"Marcala, Honduras"
MRK,Marco Island Airport (FAA: MKY),"Marco Island, Florida, United States"
MRL,Miners Lake Airport,"Miners Lake, Queensland, Australia"
MRM,Manari Airport,"Manari, Papua New Guinea"
MRN,Foothills Regional Airport (was Morganton-Lenoir Airport),"Morganton, North Carolina, United States"
MRO,Hood Aerodrome,"Masterton, New Zealand"
MRP,Marla Airport,"Marla, South Australia, Australia"
MRQ,Marinduque Airport,"Marinduque Island, Philippines"
MRR,José María Velasco Ibarra Airport,"Macará, Ecuador"
MRS,Marseille Provence Airport,"Marseille, Provence-Alpes-Côte d'Azur, France"
MRT,Moroak Airport,"Moroak, Northern Territory, Australia"
MRU,Sir Seewoosagur Ramgoolam International Airport,"Plaine Magnien, Mauritius"
MRV,Mineralnye Vody Airport,"Mineralnye Vody, Stavropol Krai, Russia"
MRW,Lolland Falster Airport,"Maribo, Denmark"
MRX,Mahshahr Airport,"Bandar-e Mahshahr, Iran"
MRY,Monterey Regional Airport,"Monterey, California, United States"
MRZ,Moree Airport,"Moree, New South Wales, Australia"
MSA,Muskrat Dam Airport,"Muskrat Dam, Ontario, Canada"
MSC,Falcon Field Airport (FAA: FFZ),"Phoenix, Arizona, United States"
MSD,Mount Pleasant Airport (FAA: 43U),"Mount Pleasant, Utah, United States"
MSE,Manston Airport (Kent International Airport),"Manston, England, United Kingdom"
MSF,Mount Swan Airport,"Mount Swan, Northern Territory, Australia"
MSG,Matsaile Airport,"Matsaile, Lesotho"
MSH,Masirah Air Base,"Masirah Island, Oman"
MSI,Masalembo Airport,"Masalembo, Indonesia"
MSJ,Misawa Air Base,"Misawa, Honshu, Japan"
MSL,Northwest Alabama Regional Airport,"Muscle Shoals / Florence, Alabama, United States"
MSM,Masi-Manimba Airport,"Masi-Manimba, Democratic Republic of the Congo"
MSN,Dane County Regional Airport (Truax Field),"Madison, Wisconsin, United States"
MSO,Missoula International Airport,"Missoula, Montana, United States"
MSP,Minneapolis–Saint Paul International Airport (Wold–Chamberlain Field),"Minneapolis / St Paul, Minnesota, United States"
MSQ,Minsk National Airport,"Minsk, Belarus"
MSR,Mus Airport,"Mus, Turkey"
MSS,Massena International Airport (Richards Field),"Massena, New York, United States"
MST,Maastricht Aachen Airport,"Maastricht, Netherlands"
MSU,Moshoeshoe I International Airport,"Maseru, Lesotho"
MSV,Sullivan County International Airport,"Monticello, New York, United States"
MSW,Massawa International Airport,"Massawa, Eritrea"
MSX,Mossendjo Airport,"Mossendjo, Republic of the Congo"
MSY,Louis Armstrong New Orleans International Airport,"New Orleans, Louisiana, United States"
MSZ,Moçâmedes Airport (Yuri Gagarin Airport),"Moçâmedes, Angola"
MTA,Matamata Airport,"Matamata, New Zealand"
MTB,Montelíbano Airport,"Montelíbano, Colombia"
MTC,Selfridge Air National Guard Base,"Mount Clemens, Michigan, United States"
MTD,Mount Sandford Station Airport,"Mount Sandford Station, Northern Territory, Australia"
MTE,Monte Alegre Airport,"Monte Alegre, Pará, Brazil"
MTF,Mizan Teferi Airport,"Mizan Teferi, Ethiopia"
MTG,Mato Grosso Airport,"Mato Grosso, Brazil"
MTH,Florida Keys Marathon Airport,"Marathon, Florida, United States"
MTI,Mosteiros Airport,"Mosteiros, Cape Verde"
MTJ,Montrose Regional Airport,"Montrose, Colorado, United States"
MTK,Makin Airport,"Makin Island (Butaritari), Kiribati"
MTL,Maitland Airport,"Maitland, New South Wales, Australia"
MTM,Metlakatla Seaplane Base,"Metlakatla, Alaska, United States"
MTN,Martin State Airport,"Baltimore, Maryland, United States"
MTO,Coles County Memorial Airport,"Mattoon / Charleston, Illinois, United States"
MTP,Montauk Airport,"Montauk, New York, United States"
MTQ,Mitchell Airport,"Mitchell, Queensland, Australia"
MTR,Los Garzones Airport,"Montería, Colombia"
MTS,Matsapha Airport,"Manzini, Swaziland"
MTT,Minatitlán/Coatzacoalcos International Airport,"Minatitlán, Veracruz, Mexico"
MTU,Montepuez Airport,"Montepuez, Mozambique"
MTV,Mota Lava Airport,"Mota Lava, Vanuatu"
MTW,Manitowoc County Airport,"Manitowoc, Wisconsin, United States"
MTX,Metro Field (FAA: MTF),"Fairbanks, Alaska, United States"
MTY,General Mariano Escobedo International Airport,"Monterrey, Nuevo León, Mexico"
MTZ,Bar Yehuda Airfield (Masada Airfield),"Masada, Israel"
MUA,Munda Airport,"Munda, New Georgia, Solomon Islands"
MUB,Maun Airport,"Maun, Botswana"
MUC,Munich Airport,"Munich, Bavaria, Germany"
MUD,Mueda Airport,"Mueda, Mozambique"
MUE,Waimea-Kohala Airport,"Kamuela, Hawaii, United States"
MUF,Muting Airport,"Muting, Indonesia"
MUG,Mulegé Airstrip,"Mulegé, Baja California Sur, Mexico"
MUH,Marsa Matruh International Airport,"Mersa Matruh, Egypt"
MUI,Muir Army Airfield,"Fort Indiantown Gap, Pennsylvania, United States"
MUJ,Mui Airport,"Mui, Ethiopia"
MUK,Mauke Airport,"Mauke Island, Cook Islands"
MUL,Spence Airport,"Moultrie, Georgia, United States"
MUN,José Tadeo Monagas International Airport,"Maturín, Venezuela"
MUO,Mountain Home Air Force Base,"Mountain Home, Idaho, United States"
MUP,Mulga Park Airport,"Mulga Park, Northern Territory, Australia"
MUQ,Muccan Station Airport,"Muccan Station, Western Australia, Australia"
MUR,Marudi Airport,"Marudi, Sarawak, Malaysia"
MUS,Minami Torishima Airport,"Minami-Tori-shima, Japan"
MUT,Muscatine Municipal Airport,"Muscatine, Iowa, United States"
MUW,Ghriss Airport,"Ghriss, Algeria"
MUX,Multan International Airport,"Multan, Pakistan"
MUY,Mouyondzi Airport,"Mouyondzi, Republic of the Congo"
MUZ,Musoma Airport,"Musoma, Tanzania"
MVA,Mývatn Airport,"Mývatn, Iceland"
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,"Franceville, Gabon"
MVC,Monroe County Airport,"Monroeville, Alabama, United States"
MVD,Carrasco Gral. Cesáreo L. Berisso International Airport,"Montevideo, Uruguay"
MVE,Montevideo–Chippewa County Airport,"Montevideo, Minnesota, United States"
MVF,Gov. Dix-Sept Rosado Airport,"Mossoró, Rio Grande do Norte, Brazil"
MVG,Mevang Airport,"Mevang, Gabon"
MVH,Macksville Airport,"Macksville, New South Wales, Australia"
MVI,Manetai Airport,"Manetai, Papua New Guinea"
MVK,Mulka Airport,"Mulka, South Australia, Australia"
MVL,Morrisville–Stowe State Airport,"Morrisville / Stowe, Vermont, United States"
MVM,Kayenta Airport (FAA: 0V7),"Kayenta, Arizona, United States"
MVN,Mount Vernon Airport,"Mount Vernon, Illinois, United States"
MVO,Mongo Airport,"Mongo, Chad"
MVP,Fabio Alberto León Bentley Airport,"Mitú, Colombia"
MVQ,Mogilev Airport,"Mogilev, Belarus"
MVR,Salak Airport,"Maroua, Cameroon"
MVS,Mucuri Airport,"Mucuri, Bahia, Brazil"
MVT,Mataiva Airport,"Mataiva, Tuamotus, French Polynesia"
MVU,Musgrave Airport,"Musgrave, Queensland, Australia"
MVV,Megève Altiport,"Megève, Rhône-Alpes, France"
MVW,Skagit Regional Airport (FAA: BVS),"Burlington / Mount Vernon, Washington, United States"
MVX,Minvoul Airport,"Minvoul, Gabon"
MVY,Martha's Vineyard Airport,"Vineyard Haven, Massachusetts, United States"
MVZ,Masvingo Airport,"Masvingo, Zimbabwe"
MWA,Williamson County Regional Airport,"Marion, Illinois, United States"
MWB,Morawa Airport,"Morawa, Western Australia, Australia"
MWC,Lawrence J. Timmerman Airport,"Milwaukee, Wisconsin, United States"
MWD,PAF Base M.M. Alam,"Mianwali, Pakistan"
MWE,Merowe Airport,"Merowe, Sudan"
MWF,Maewo-Naone Airport,"Maewo, Vanuatu"
MWG,Marawaka Airport,"Marawaka, Papua New Guinea"
MWH,Grant County International Airport,"Moses Lake, Washington, United States"
MWI,Maramuni Airport,"Maramuni, Papua New Guinea"
MWJ,Matthews Ridge Airport,"Matthew's Ridge, Guyana"
MWK,Matak Airport (Tarempa Airport),"Matak, Indonesia"
MWL,Mineral Wells Airport,"Mineral Wells, Texas, United States"
MWM,Windom Municipal Airport,"Windom, Minnesota, United States"
MWN,Mwadui Airport,"Mwadui, Tanzania"
MWO,Middletown Regional Airport (Hook Field),"Middletown, Ohio, United States"
MWQ,Magway Airport,"Magway, Myanmar"
MWR,Motswari Airstrip,"Motswari, South Africa"
MWT,Moolawatana Airport,"Moolawatana Station, South Australia, Australia"
MWU,Mussau Island Airport,"Mussau Island, Papua New Guinea"
MWV,Mondulkiri Airport,"Senmonorom, Cambodia"
MWX,Muan International Airport,"Muan, South Korea"
MWY,Miranda Downs Airport,"Miranda Downs, Queensland, Australia"
MWZ,Mwanza Airport,"Mwanza, Tanzania"
MXA,Manila Municipal Airport,"Manila, Arkansas, United States"
MXB,Andi Jemma Airport,"Masamba, Indonesia"
MXC,Monticello Airport (FAA: U43),"Monticello, Utah, United States"
MXD,Marion Downs Airport,"Marion Downs Station, Queensland, Australia"
MXE,Laurinburg–Maxton Airport (FAA: MEB),"Laurinburg / Maxton, North Carolina, United States"
MXF,Maxwell Air Force Base,"Montgomery, Alabama, United States"
MXG,Marlboro Airport (FAA: 9B1),"Marlborough, Massachusetts, United States"
MXH,Moro Airport,"Moro, Papua New Guinea"
MXI,Mati Airport (Imelda R. Marcos Airport),"Mati, Philippines"
MXJ,Minna Airport,"Minna, Nigeria"
MXK,Mindik Airport,"Mindik, Papua New Guinea"
MXL,General Rodolfo Sánchez Taboada International Airport,"Mexicali, Baja California, Mexico"
MXM,Morombe Airport,"Morombe, Madagascar"
MXN,Morlaix – Ploujean Airport,"Morlaix, Brittany, France"
MXO,Monticello Regional Airport,"Monticello, Iowa, United States"
MXP,Milan–Malpensa Airport,"Milan, Lombardy, Italy"
